Name,Address,Source,SourceFile,image-wrapper href,photo src,place-name,address,city,material-icons,material-icons 2,info,material-icons 3,description,program-link href,program,badge 3,btn href,city 2,details,neighborhood,badge
,301 Lamplighter Ln,Winnie,winnie (3).csv,https://winnie.com/place/ca-home-child-care-birmingham,https://winnie-static.imgix.net/default/daycare_41.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,C.A. Home Child Care,301 Lamplighter Ln,"Birmingham, AL",maps_home_work,,,,"C.A. Home Child Care is a licensed child care center offering daycare programs located at 301 Lamplighter Ln in Sandusky in Birmingham, AL. Contact this provider to inquire about prices and...",https://winnie.com/place/ca-home-child-care-birmingham#daycare-program,,,https://winnie.com/place/ca-home-child-care-birmingham#contact_form,,,Sandusky,12 mo - 12 yr
,1825 Pebble Lake Dr,Winnie,winnie (3).csv,https://winnie.com/place/shellys-home-daycare-birmingham,https://winnie-static.imgix.net/default/daycare_21.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Shelly's Home Daycare,1825 Pebble Lake Dr,"Birmingham, AL",location_on,,,,"Shelly's Home Daycare is a licensed child care center offering daycare programs located at 1825 Pebble Lake Dr in Birmingham, AL. Contact this provider to inquire about prices and availability.",https://winnie.com/place/shellys-home-daycare-birmingham#daycare-program,,,https://winnie.com/place/shellys-home-daycare-birmingham#contact_form,Birmingham,,,3 yr - 14 yr
,412 12th Ct N,Winnie,winnie (3).csv,https://winnie.com/place/parker-comm-sch-tuggle-elem-birmingham,https://winnie-static.imgix.net/default/daycare_49.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Parker Comm Sch - Tuggle Elem,412 12th Ct N,"Birmingham, AL",maps_home_work,,,,"Parker Comm Sch - Tuggle Elem is a license exempt child care center offering daycare programs located at 412 12th Ct N in Enon Ridge in Birmingham, AL. Contact this provider to inquire about prices...",https://winnie.com/place/parker-comm-sch-tuggle-elem-birmingham#daycare-program,,,https://winnie.com/place/parker-comm-sch-tuggle-elem-birmingham#contact_form,,,Enon Ridge,4 yr - 12 yr
,210 64th St S,Winnie,winnie (3).csv,https://winnie.com/place/love-joy-ministries-church-inc-site-1-birmingham,https://winnie-static.imgix.net/default/daycare_27.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Love Joy Ministries Church Inc. Site 1,210 64th St S,"Birmingham, AL",maps_home_work,,,,"Love Joy Ministries Church Inc. Site 1 is a licensed child care center offering daycare programs located at 210 64th St S in South Woodlawn in Birmingham, AL. Contact this provider to inquire about...",https://winnie.com/place/love-joy-ministries-church-inc-site-1-birmingham#daycare-program,,,https://winnie.com/place/love-joy-ministries-church-inc-site-1-birmingham#contact_form,,,South Woodlawn,6 w - 11 yr
,2800 19th St N,Winnie,winnie (3).csv,https://winnie.com/place/deep-life-center-bessemer,https://winnie-static.imgix.net/default/daycare_59.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Deep Life Center,2800 19th St N,"Bessemer, AL",location_on,,,,"Deep Life Center is a licensed child care center offering daycare programs located at 2800 19th St N in Bessemer, AL. Contact this provider to inquire about prices and availability.",https://winnie.com/place/deep-life-center-bessemer#daycare-program,,,https://winnie.com/place/deep-life-center-bessemer#contact_form,Bessemer,,,6 w - 13 yr
,500 Carter Ave,Winnie,winnie (3).csv,https://winnie.com/place/mt-sinai-kiddiekare-bessemer,https://winnie-static.imgix.net/default/daycare_47.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Mt. Sinai Kiddiekare,500 Carter Ave,"Bessemer, AL",location_on,,,,"Mt. Sinai Kiddiekare is a licensed child care center offering daycare programs located at 500 Carter Ave in Bessemer, AL. Contact this provider to inquire about prices and availability.",https://winnie.com/place/mt-sinai-kiddiekare-bessemer#daycare-program,,,https://winnie.com/place/mt-sinai-kiddiekare-bessemer#contact_form,Bessemer,,,6 w - 12 yr
,901 Kingman Rd,Winnie,winnie (3).csv,https://winnie.com/place/sure-foundation-christian-church-cdc-birmingham,https://winnie-static.imgix.net/default/daycare_37.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Sure Foundation Christian Church Cdc,901 Kingman Rd,"Birmingham, AL",maps_home_work,,,,"Sure Foundation Christian Church Cdc is a licensed child care center offering daycare programs located at 901 Kingman Rd in Huffman in Birmingham, AL. Contact this provider to inquire about prices and...",https://winnie.com/place/sure-foundation-christian-church-cdc-birmingham#daycare-program,,,https://winnie.com/place/sure-foundation-christian-church-cdc-birmingham#contact_form,,,Huffman,6 w - 4 yr 11 mo
,7000 Grasselli Rd,Winnie,winnie (3).csv,https://winnie.com/place/ami-first-class-pre-k-fairfield,https://winnie-static.imgix.net/default/daycare_45.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Ami First Class Pre K,7000 Grasselli Rd,"Fairfield, AL",location_on,,,,"Ami First Class Pre K is a licensed child care center offering daycare programs located at 7000 Grasselli Rd in Fairfield, AL. Contact this provider to inquire about prices and availability.",https://winnie.com/place/ami-first-class-pre-k-fairfield#daycare-program,,,https://winnie.com/place/ami-first-class-pre-k-fairfield#contact_form,Fairfield,,,4 yr - 4 yr 11 mo
,620 19th Ave S,Winnie,winnie (3).csv,https://winnie.com/place/baby-toddler-home-daycare-birmingham,https://winnie-static.imgix.net/default/daycare_54.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Baby & Toddler Home Daycare,620 19th Ave S,"Birmingham, AL",maps_home_work,,,,"Baby & Toddler Home Daycare is a licensed child care center offering daycare programs located at 620 19th Ave S in Glen Iris in Birmingham, AL. Contact this provider to inquire about prices and...",https://winnie.com/place/baby-toddler-home-daycare-birmingham#daycare-program,,,https://winnie.com/place/baby-toddler-home-daycare-birmingham#contact_form,,,Glen Iris,1 mo - 4 yr 11 mo
,1101 Alexander St,Winnie,winnie (3).csv,https://winnie.com/place/st-john-baptchdolomite-pres-daycare-birmingham,https://winnie-static.imgix.net/default/daycare_42.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,St. John Bapt.Ch.Dolomite Pres. Daycare,1101 Alexander St,"Birmingham, AL",maps_home_work,,,,"St. John Bapt.Ch.Dolomite Pres. Daycare is a licensed child care center offering daycare programs located at 1101 Alexander St in Dolomite in Birmingham, AL. Contact this provider to inquire about...",https://winnie.com/place/st-john-baptchdolomite-pres-daycare-birmingham#daycare-program,,,https://winnie.com/place/st-john-baptchdolomite-pres-daycare-birmingham#contact_form,,,Dolomite,6 w - 12 yr
